player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,lengthHand,widthHand,body_fat_pct,drafted
Jerel McNeal,,2009,,SG,1.87,86.36,2.01,252.73,80.01,92.71,10.0,10.61,3.25,,,5.4,False
Martell Webster,2005.0,2005,6.0,SF,1.98,104.14,2.11,269.24,71.12,77.47,7.0,11.39,3.39,,,,True
Justin Jackson (UNC),2017.0,2017,15.0,SF,2.01,91.08,2.11,265.43,74.93,90.17,,10.8,3.3,22.22,23.5,8.1,True
Meyers Leonard,2012.0,2012,11.0,C,2.13,113.31,2.21,274.32,76.2,82.55,19.0,11.34,3.41,23.5,27.94,5.7,True
Noah Vonleh,2014.0,2014,9.0,PF,2.03,112.08,2.24,274.32,78.74,93.98,,11.45,3.28,24.76,29.84,7.3,True
Kenny Gregory,,2001,,SF,1.92,90.72,2.11,256.54,100.33,115.57,10.0,11.33,3.1,,,6.7,False
Blagota Sekulic,,2004,,SF-PF,2.06,106.14,2.11,271.78,59.69,80.01,8.0,10.93,3.39,,,9.3,False
Andre Iguodala,2004.0,2004,9.0,SG-SF,1.97,98.43,2.11,267.97,77.47,87.63,4.0,11.17,3.18,,,6.7,True
CJ Leslie,,2013,,PF-SF,2.02,94.89,2.19,265.43,82.55,102.87,,10.19,3.1,22.22,22.86,7.95,False
Reggie Perry,2020.0,2020,57.0,PF-C,2.04,113.22,2.14,270.51,76.2,85.09,,11.26,3.25,23.5,27.94,8.4,True
Tyler Ulis,2016.0,2016,34.0,PG,1.75,67.68,1.88,224.79,82.55,96.52,,10.8,3.2,19.05,19.05,5.2,True
Jeff Teague,2009.0,2009,19.0,PG,1.84,79.47,2.02,250.19,77.47,92.71,13.0,11.05,3.18,,,4.5,True
Luther Head,2005.0,2005,24.0,PG-SG,1.88,81.1,1.96,250.19,80.01,97.79,14.0,11.12,3.21,,,,True
Kahlil Whitney,,2020,,SF,1.97,92.99,2.14,267.97,73.66,99.06,,11.17,3.28,23.5,26.04,5.3,False
David West,2003.0,2003,18.0,PF-SF,2.04,102.51,2.24,274.96,72.39,80.01,11.0,12.18,3.43,,,8.0,True
Pape Sow,2004.0,2004,47.0,PF-C,2.04,105.69,2.18,275.59,71.12,80.01,18.0,12.13,3.27,,,9.3,True
Omer Yurtseven,,2017,,C,2.1,112.67,2.16,275.59,66.04,80.01,6.0,12.85,3.45,22.86,26.67,7.6,False
Michael Bradley,2001.0,2001,17.0,PF,2.07,102.97,2.17,271.78,68.58,76.2,13.0,11.11,3.35,,,9.3,True
John Wall,2010.0,2010,1.0,PG,1.9,88.72,2.06,257.81,76.2,99.06,,10.84,3.14,20.96,24.13,5.6,True
K.J. McDaniels,2014.0,2014,32.0,SF,1.94,88.72,2.11,259.08,83.82,93.98,,12.71,3.1,22.22,24.76,4.45,True
Marial Shayok,2019.0,2019,54.0,SF-PF,1.94,89.27,2.14,262.89,74.93,92.71,9.0,11.16,3.37,22.22,23.5,4.7,True
Andrew Bogut,2005.0,2005,1.0,C-PF,2.11,113.67,2.21,280.67,69.85,85.09,13.0,12.06,3.51,,,,True
Mohamed Abukar,,2007,,SF,2.03,95.25,2.06,261.62,77.47,88.9,15.0,11.78,3.37,,,8.9,False
Derrick Favors,2010.0,2010,3.0,PF,2.05,111.22,2.24,279.4,80.01,90.17,14.0,11.74,3.25,22.22,23.5,6.5,True
Fred Jones,2002.0,2002,14.0,SG,1.89,98.88,2.13,254.0,85.09,95.25,,11.12,3.13,,,,True
Zach Norvell Jr.,,2019,,SG,1.94,93.62,1.98,256.54,60.96,76.2,,11.6,3.43,21.59,24.13,7.5,False
Chris Paul,2005.0,2005,4.0,PG,1.82,80.74,1.94,236.22,81.28,96.52,10.0,11.09,3.22,,,,True
George King,2018.0,2018,59.0,SF-SG,1.95,99.16,2.12,257.81,78.74,99.06,15.0,10.75,3.29,22.86,26.04,7.25,True
Adam Morrison,2006.0,2006,3.0,SF,1.99,89.81,2.08,266.7,64.77,77.47,11.0,11.46,3.37,,,6.8,True
Ales Chan,,2004,,C,2.13,115.67,2.21,287.02,53.34,73.66,2.0,12.9,3.62,,,14.8,False
Chris Daniels,,2008,,C-PF,2.04,116.12,2.15,276.86,66.04,72.39,11.0,12.72,3.56,,,16.1,False
Mario Boggan,,2007,,PF,1.96,108.86,2.18,271.78,60.96,67.31,12.0,12.18,3.45,,,9.2,False
Moritz Wagner,2018.0,2017,25.0,PF,2.08,104.87,2.13,274.32,64.77,82.55,,12.0,3.35,22.22,27.3,6.7,True
Shabazz Muhammad,2013.0,2013,14.0,SF-SG,1.95,100.61,2.11,265.43,74.93,93.98,10.0,10.99,3.32,22.86,25.4,9.0,True
Kris Wilkes,,2019,,SF,1.99,94.71,2.1,261.62,69.85,88.9,4.0,10.39,3.34,21.59,24.13,4.9,False
Justin Harper,2011.0,2011,32.0,PF-SF,2.03,103.42,2.13,269.24,72.39,83.82,19.0,11.92,3.3,22.86,23.5,4.0,True
Russell Westbrook,2008.0,2008,4.0,PG,1.89,87.09,2.03,254.0,76.2,92.71,12.0,10.98,3.08,,,4.8,True
Chris Singleton,2011.0,2011,18.0,SF,2.03,104.42,2.16,262.89,77.47,95.25,15.0,11.33,3.09,23.5,25.4,7.4,True
Eric Bledsoe,2010.0,2010,18.0,PG,1.84,86.91,2.02,248.92,,,9.0,,,21.59,24.76,5.6,True
Omar Quintero,,2004,,PG,1.77,77.11,1.82,234.95,63.5,73.66,2.0,11.37,3.25,,,14.1,False
James Anderson,2010.0,2010,20.0,SF,1.95,94.17,2.04,264.16,76.2,90.17,14.0,11.86,3.19,21.59,18.42,7.9,True
Demetrius Jackson,2016.0,2016,45.0,PG,1.83,87.91,1.97,236.22,95.25,110.49,,10.81,3.25,20.96,22.86,6.5,True
Chase Budinger,2009.0,2009,44.0,SF-SG,1.99,93.62,2.01,256.54,74.93,97.79,10.0,11.08,3.24,,,10.0,True
Ronny Turiaf,2005.0,2005,37.0,PF,2.03,107.86,2.17,270.51,77.47,83.82,15.0,11.5,3.23,,,,True
Lazaros Papadopoulos,,2001,,C-PF,2.09,102.97,2.2,280.67,58.42,66.04,4.0,12.0,3.7,,,11.7,False
Pascal Siakam,2016.0,2016,27.0,PF,2.04,102.78,2.22,273.05,77.47,92.71,,11.25,3.41,23.5,25.4,5.2,True
Carlos Boozer,2002.0,2002,34.0,PF,2.03,117.03,2.19,275.59,67.31,72.39,13.0,10.77,3.31,,,,True
Cleanthony Early,2014.0,2014,34.0,SF,1.98,94.98,2.1,257.81,86.36,101.6,,11.15,3.18,21.59,22.86,4.45,True
Quinndary Weatherspoon,2019.0,2019,49.0,SG,1.9,93.71,2.06,254.0,78.74,96.52,,11.57,3.16,21.59,22.86,6.1,True
Terence Davis,,2019,,SG,1.9,87.27,2.05,256.54,74.93,86.36,13.0,10.69,3.28,23.5,27.3,4.1,False
Bruno Fernando,2019.0,2018,34.0,C,2.05,105.78,2.24,276.86,73.66,88.9,11.0,12.19,3.23,24.13,25.4,5.25,True
